Name,Easting,Northing,Elevation,Date_Obs,Time_Obs,,
MAT06_B2_F2_01,393913.7679,7614440.269,750.928255,6/21/2019,11:44:26 AM,,
MAT06_B2_F2_02,393913.8001,7614435.343,750.831988,6/21/2019,11:44:41 AM,,
MAT06_B2_F2_03,393893.8745,7614439.964,752.403096,6/21/2019,11:44:33 AM,,
MAT06_B2_F2_04,393893.9075,7614435.104,752.450793,6/21/2019,11:44:48 AM,,
MAT06_B2_F5_01,393913.7314,7614468.205,750.732814,6/21/2019,11:37:09 AM,,
MAT06_B2_F5_02,393913.6721,7614463.138,750.756207,6/21/2019,11:37:59 AM,,
MAT06_B2_F5_03,393893.8103,7614467.973,752.214142,6/21/2019,11:36:55 AM,,
MAT06_B2_F5_04,393893.8538,7614463.011,752.160897,6/21/2019,11:37:57 AM,,
MAT06_B2_GH_01,393913.2436,7614456.704,750.754722,6/21/2019,11:40:46 AM,,
MAT06_B2_GH_02,393913.2576,7614460.634,750.675604,6/21/2019,11:41:01 AM,,
MAT06_B2_GH_03,393905.9394,7614460.815,751.239592,6/21/2019,11:41:18 AM,,
MAT06_B2_GH_04,393905.7811,7614456.999,751.310641,6/21/2019,11:42:19 AM,,
MAT06_B2_H_01,393913.5612,7614461.249,750.69768,6/21/2019,11:38:36 AM,,
MAT06_B2_H_02,393913.7512,7614456.225,750.654881,6/21/2019,11:39:12 AM,,
MAT06_B2_H_03,393893.886,7614460.938,752.099151,6/21/2019,11:38:35 AM,,
MAT06_B2_H_04,393893.8666,7614456.048,752.205106,6/21/2019,11:39:13 AM,,
MAT06_B2_NH4-P_01,393913.8345,7614426.27,750.954407,6/21/2019,11:46:02 AM,,
MAT06_B2_NH4-P_02,393913.7377,7614421.415,750.961032,6/21/2019,11:46:16 AM,,
MAT06_B2_NH4-P_03,393894.024,7614425.962,752.284343,6/21/2019,11:46:10 AM,,
MAT06_B2_NH4-P_04,393894.0592,7614420.995,752.419235,6/21/2019,11:46:26 AM,,
MAT06_B2_NO3-P_01,393913.9476,7614405.344,750.837894,6/21/2019,11:48:23 AM,,
MAT06_B2_NO3-P_02,393914.0941,7614400.181,750.802595,6/21/2019,11:48:39 AM,,
MAT06_B2_NO3-P_03,393894.2105,7614404.988,752.346964,6/21/2019,11:48:14 AM,,
MAT06_B2_NO3-P_04,393894.137,7614400.073,752.27689,6/21/2019,11:48:32 AM,,
MAT06_B3_CT_01,393829.2869,7614332.813,759.121038,6/21/2019,11:57:54 AM,,
MAT06_B3_CT_02,393831.0961,7614328.099,759.217961,6/21/2019,11:58:09 AM,,
MAT06_B3_CT_03,393810.5799,7614325.945,760.883849,6/21/2019,11:58:00 AM,,
MAT06_B3_CT_04,393812.3028,7614321.401,761.125726,6/21/2019,11:58:15 AM,,
MAT06_B3_EXTRA_01,393834.0049,7614319.757,759.413513,6/21/2019,11:59:18 AM,,
MAT06_B3_EXTRA_02,393835.7616,7614315.031,759.471357,6/21/2019,11:59:31 AM,,
MAT06_B3_EXTRA_03,393815.4208,7614312.851,761.492873,6/21/2019,11:59:18 AM,,
